num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
328	1	4.645040526	3.276181239	2.371024181	2.123468091	1.607301417	-0.020810543
329	1	4.043600149	2.852065107	2.138746518	2.065265603	1.622126312	-0.052142336
330	1	3.999219545	2.588535285	1.985929036	2.002390997	1.644991272	-0.065298369
331	1	4.119921305	2.541692628	1.943759885	2.006288306	1.639806789	-0.04819154
332	1	4.099727298	2.587050323	1.902193674	2.027162504	1.59565657	-0.082307708
333	1	4.07105177	2.646366949	1.890741625	1.944558081	1.572370034	-0.106651347
334	1	4.028503947	2.725527889	1.882461537	1.869489944	1.494591777	-0.138609567
335	1	3.965871357	2.723944819	1.827082871	1.831650914	1.443135393	-0.172465301
336	1	3.877390598	2.707612384	1.829980556	1.792395928	1.44226391	-0.184908442
337	1	3.957375713	2.810431302	1.872235536	1.74720698	1.493010862	-0.134913823
